sundays	60152:52882:2902:504
ike	46559:53454:2430:605
hartenstein	49709:53454:9996:824
clothing	43235:54312:3596:538
bought	47328:54295:3348:538
sold	51098:54312:2108:538
cleaned	53578:54329:3299:454
and	57398:54346:1463:437
repaired	59358:54362:3919:555
100	47551:55002:2158:504
court	50627:55002:5457:538
st	57002:55069:2108:555
first	43210:56112:2133:471
class	45715:56112:2158:471
shirts	48295:55961:8061:874
made	56927:56146:2182:437
to	59457:56163:793:437
order	60549:56163:2678:487
370	43210:57021:1190:386
caapel	44822:56970:3522:420
st	48816:56970:1438:471
insurance	53281:57004:5109:403
building	58912:57004:4316:437
paragon	45070:57677:3944:487
shirt	49436:57660:2356:403
manufacturing	52313:57694:7243:521
co	59904:57694:1438:420
