w.	18359:35353:754:298
goss	15939:43919:1176:313 19513:35368:1154:298
of	21312:35368:488:298 19802:39180:488:298 24087:38253:488:298
london,	22155:35368:2020:358
a	24819:35488:266:179 21556:38328:266:209
distinguished	14674:35817:2575:358 25441:35383:688:298
baritone,	17626:35831:2175:358
will	20224:35831:932:313 19314:43470:954:298 18781:38223:932:298
present	21556:35906:1820:298
old	23998:39688:732:284 23776:35846:910:313
english	14674:36295:865:284 25108:35861:932:358
songs	15939:36400:1376:254
and	19735:40152:888:284 17249:41093:888:284 16539:38717:888:269 25463:36355:888:298 17982:36325:888:284
lieder	19269:36325:1620:298
by	21556:36325:577:358 16272:42977:599:358 21001:43964:599:358 22977:43007:577:358 16383:39165:599:343 20646:42050:577:358 22599:40167:577:343
schubert	22866:36325:2220:313
loewe	14674:36773:1642:298
in	23732:38717:444:298 25907:41123:444:298 16650:36773:466:284 14674:42484:444:284 16383:37252:466:298
the	25374:37790:976:284 20557:39195:754:284 15828:37730:976:298 14652:44412:732:284 17449:36788:754:298 24531:38732:777:298 15207:43440:999:313
fourth	18537:36803:1554:284
whiting	20424:36803:2131:358 16494:39643:2131:373 19069:42514:2153:373
recital	22888:36818:1776:284
to	24953:42588:488:254 24997:36863:488:254
be	20313:41108:510:284 16716:40122:532:298 25818:36818:532:298 20757:43485:532:298 25796:42558:532:298
given	14674:37237:1332:358
sprague	17249:37267:2064:358
hall	19691:37282:1110:284
monday	21201:37296:2042:343
evening	23621:37296:1931:343
at	25885:37356:466:239
8.	14674:37715:355:298
program	16672:43560:2175:269 17271:37835:2175:269
is	19935:37745:355:313
entirely	20779:37760:1909:358
vocal.	23154:37790:1420:269
famous	14674:38208:1776:284
singer	16872:38223:1509:343
give	20135:38223:1021:358
group	22222:38343:1443:254
sailor	24953:38253:1398:298
songs,	14674:38776:1487:269
sea	17804:38791:754:194
chanties,	18914:38717:2131:328
assisted	21423:38717:1931:313
refrains	14674:39150:1420:298 25663:38836:466:194
members	17271:39180:2220:284
vale	21622:39210:1154:284 17116:42992:1154:284
glee	23088:39210:1110:284
club.	24486:39210:1287:298
believes	18892:39658:1953:298
that	21156:39673:976:284
these	22444:39688:1243:284
tunes	25064:39748:1287:239
should	14674:40122:1620:284 18426:41093:1620:284
known	17671:40122:1642:298
sung	21045:40241:1154:269 21578:43111:1154:269
all	23598:40167:599:284
college	24620:40167:1731:358
students.	14674:40600:2153:284
they	17560:40615:1309:343 22644:41602:1087:328
are	19291:40705:777:209
appropriate	20468:40630:2908:343
for	23776:40630:732:313
social	24953:40645:1376:298
occasions	14674:41064:2308:298
included,	21134:41108:2175:343
he	23598:41108:532:298
says,	24442:41213:1154:269
student	14674:41542:1798:298
song	16872:41647:1154:269
books.	18426:41557:1531:298
while	20690:41587:1554:284
have	24109:41602:1154:298
already	14674:42020:1354:343 25685:41602:444:298
been	16405:42020:1110:298
presented	17893:42065:2375:328
bartholomew	22955:42065:3374:313
concert,	15451:42543:1953:313
wants	21556:42588:1443:254
them	23376:42543:1243:298
heard	14652:42962:1376:298
students	18514:43007:2042:284
as	20801:43097:488:209 21778:43590:488:194
goss.	25019:43022:1287:313
follows,	22755:43500:1953:358
with	25197:43515:1132:298
accompanied	17493:43949:3174:358
