is	28630:36433:551:416 21376:35017:551:437 27857:35017:496:437 26616:35725:496:437 28961:32954:551:416 24741:29476:524:437 29650:26684:524:416
play's	17514:27372:2068:541 18673:37204:2041:562 18755:38579:2068:562
best	19803:27372:1406:437
scene	21458:27497:1903:312
—	21155:28309:634:62 23582:27601:689:62 19252:33204:661:41
a	29071:35850:358:312 24465:27497:358:312 25734:29580:358:333 23886:32371:330:312 17514:35850:386:312
kind	25099:27372:1461:437
of	26782:27372:634:437 19776:39975:634:437 31057:36412:634:458
peak	27637:27372:1627:541
before	29540:27372:2151:437
fall	19307:28059:1103:458
director	22506:28059:2758:458
emily	25982:28059:2151:562
pachuta	28823:28059:2840:458
handles	17514:28747:2647:458
it	17431:39308:441:416 20438:28747:441:479 21045:40662:524:416
beautifully.	21210:28747:3916:583
motel	19997:29455:1930:458
room	22451:29580:1765:333
cage,	26616:29559:1792:458
characters	17514:30163:3723:437
are	21762:30288:1103:312
not	23362:30205:1075:395 22120:35058:1048:416
fools	24934:30163:1572:437
for	27030:30163:965:437
love,	28464:30163:1627:520
but	30616:30142:1075:458 25568:35017:1075:437
animals.	17514:30851:2951:437
an	20852:30871:910:416 24217:33767:799:312
old	22120:30851:1020:437
man	23472:30976:1489:312
(alan	25403:30851:1847:479
brown)	27609:30871:2537:437
sits	30533:30871:1130:416
downstage	17514:31538:3640:562
throughout	21376:31559:3778:541
play,	26616:31559:1682:541
watching	28519:31538:3144:562
everything	17514:32246:3723:541
funny	29761:35725:1903:541 24851:32246:1930:541
look	27388:32246:1379:437
on	29347:32371:772:312
his	30726:32246:937:437
face	17514:32934:1434:458
probably	20162:32934:3061:562
because	23444:32954:2785:437
set	27747:32975:1020:395
so	29705:33079:744:291
oddly	30671:32934:689:458 17514:33621:1048:562
shaped,	19086:33621:2592:562
incongruous	25540:33642:4192:541
cafe	30257:33621:1406:437
table	17514:34309:1820:458
in	20079:34329:634:437 24823:39225:606:458
foreground.	23279:34329:4220:541
what	28299:34329:1847:437
he	30891:34329:772:437 30836:39891:772:416 22837:39246:799:437 23279:37183:799:437 25540:35725:772:437 26864:35038:772:416
represents	17514:35079:3640:499
clear,	23362:35038:1958:499
certainly	28575:35017:3089:541
heavy	18231:35725:2013:541
drinker.	20548:35725:2758:437
that	21293:39246:1379:458 29236:39891:1351:437 23637:35725:1627:437
also	27416:35725:1351:437
man,	17514:36537:1737:395
as	19500:36558:744:291 26892:42099:717:333 28271:40704:717:333 23886:41433:744:333 28161:41412:744:312
played	20493:36412:2289:562
