"	37695:21791:490:80
successful	25414:22436:3302:443
haggerty	25981:24472:3044:544 29181:22476:3096:544
a	33747:22617:335:322 40146:30741:361:322 26394:30660:361:302 40275:25379:335:322
reminder	34573:22516:3044:443
what	39140:22557:1573:443
byrnes	23066:23081:2270:544 25181:23786:2270:524 30290:25843:2322:544 22859:30519:2296:544
could	25775:23101:1702:443
have	27916:23121:1522:443
been	29877:23141:1470:443
were	31761:23282:1599:302
he	36173:26548:748:423 30032:31910:851:403 37463:29249:722:423 36869:27234:722:423 33747:23182:748:423 23014:29149:748:443
more	34934:23303:1677:322
driven	37024:23182:2064:463
hence	23066:23746:1857:443
reveres	27684:23907:2451:342
him.	30393:23827:1419:443
while	23711:24431:1806:443
calculates	29464:24512:3276:443
odds	34599:24512:1444:443
becoming	37566:24552:3096:564
commissioner	23040:25117:4541:463
fulfills	29413:25177:2064:443
ceremonial	33154:25218:3612:423
duties	37127:25218:1883:463
chief,	28303:25843:1754:524
tries	32767:25863:1444:423
tentatively	34444:25883:3457:564
patch	38882:25943:1754:524
his	27452:27173:903:443 23040:26467:877:423 25723:31870:903:443
broken	24201:26467:2218:443
marriage	26652:26508:3070:544
brings	31348:26508:2064:564
women	33618:26649:2322:322
picks	37179:26568:1651:544
up	39062:26709:799:423
in	40043:31971:567:423 30729:29209:593:423 40069:26609:567:403
bars	23014:27133:1444:443
back	24769:27153:1522:443
small	28665:27193:1780:443
apartment,	30755:27234:3586:503
which	34676:27213:1909:443
calls	37876:27254:1522:423
"poverty	23066:27818:2863:544
pad."	26188:27838:1806:544
steely	23685:28483:1960:544
byrnes'	25930:28524:2476:524
character	28742:28524:3147:443
fully-realized.	32973:28544:4463:544
although	37747:28584:2889:544
crude,	24691:29169:2012:524
brutal,	26936:29189:2167:524
many	31503:29330:1857:423
ways	33567:29330:1625:443
blind,	35425:29229:1806:524
retains	38392:29290:2244:423
reader's	24201:29834:2709:443
sympathy.	27117:29874:3379:524
throughout	30755:29874:3766:544
much	34754:29915:1754:443
novel,	38727:29955:1883:503
man	27117:30660:1444:322
overwhelmed	28897:30580:4412:423
by	33644:30580:748:544 33283:31910:748:544
circumstances;	34754:30600:4979:524
prisoner	22834:31185:2734:564
people,	26704:31225:2244:544
events,	29284:31265:2270:483
motivations,	31864:31265:4024:524
emotions	37592:31306:2941:443
beyond	22988:31850:2296:544
control.	27091:31890:2425:423
lives	31322:31910:1496:423
lessons	34444:31951:2296:423
learned	37179:31951:2425:443
childhood:	22963:32535:3379:443
male	26755:32555:1625:423
supremacy,	28742:32676:3766:443
absolute	34444:32596:2683:443
loyalty	37463:32636:2218:544
old	22963:33200:928:423
friends,	24175:33200:2451:544
like	26910:33221:1135:423
haggerty.	28329:33241:3199:524
when	51679:27395:1651:423 43397:20662:1728:423
steely	45719:20662:1935:544 53305:30781:1935:483
is	48248:20682:464:403 59162:25520:516:302 54234:26730:464:423 49228:31406:490:443 54337:24048:490:423
confronted	49306:20682:3431:443
with	50002:21367:1393:403 53305:20702:1367:423 57639:32757:1393:443 45281:26730:1367:423
a	59858:25520:361:302 55266:20803:309:302 43397:24028:464:403 49899:22133:361:302 57459:30862:361:322 54904:26851:335:302
new	56169:20823:1290:282
female	58026:20702:2218:423
firefighter,	42726:21327:3508:544
he	49873:26064:722:403 46596:21327:722:423 53743:25399:722:403 49976:26730:722:423
reacts	47706:21367:1960:403
derision.	51757:21347:2734:443
but	54879:21367:1109:403
the	42726:28060:1006:423 44713:24714:1006:403 46854:26730:980:423 47448:30076:980:423 53718:30076:980:443 49564:25379:1212:423 59291:32757:954:443 56375:21367:954:423 59136:29491:980:423 58259:32092:980:443
woman,	57691:21488:2528:362
kathv	42726:21992:1935:443
rvan	45048:22012:1651:463
angelli,	47087:22012:2451:503
gorgeous,	50621:22113:3070:443
sexy	54079:22154:1444:403
redhead	55859:22033:2631:423
(are	58904:22073:1341:383
heroines	42726:22577:2709:463
ever	46055:22738:1393:322
unattractive?)	48067:22678:4618:443
eventually	53356:22678:3354:524
wins	57304:22678:1470:423
his	50879:32757:877:443 46493:33422:928:443 46932:27395:928:423 55601:29511:903:423 59394:22678:903:423 56556:24714:928:423 56530:31426:903:423 49512:32092:903:423
grudging	42726:23343:2863:524
respect.	45848:23403:2528:483
fatal	44094:24008:1444:443
accident,	45771:24008:2889:524
in	48790:30741:541:443 48919:24048:567:403
which	49693:24028:1883:443 47138:31406:1857:443
angelli	51834:24048:2270:524
implicated,	55059:24028:3612:544
provides	58955:24169:980:423 42752:24694:1677:423
catalyst	46003:24694:2554:544
for	58001:29491:928:423 48841:24694:928:443
byrnes	50054:24714:2270:524
to	52634:24734:593:403
examine	53511:24714:2734:423
old	57768:24714:928:443
prejudices	42700:25359:2296:544 59007:24855:1006:403
and	52247:30076:1161:443 50596:29532:1186:423 48815:28060:1135:423 44532:30741:1186:423 54285:32757:1161:443 59058:28060:1186:443 45152:25359:1161:443
loyalties.	46493:25379:2889:524
decision	50957:25379:2605:443
finally	54646:25399:2038:524
makes	56865:25439:2115:383
measure	42726:26145:2786:322
of	45668:33422:619:443 46545:30076:593:423 47861:29511:593:443 46106:27395:593:423 45693:26044:593:423 59652:30076:593:443
how	46467:26044:1238:443
much	47912:26064:1754:423
has	50776:26064:1083:403
learned	52066:26044:2425:443
about	54698:26044:1754:443
reconciling	56633:26064:3612:544
himself	42726:26709:2425:423
world	47990:26730:1831:423 58388:26730:1857:443
lives	50879:26730:1496:423
in.	52557:26730:748:423
it	53563:26750:490:403
different	55420:26730:2786:423
from	47757:32092:1522:443 42726:27395:1573:423
that	44584:27395:1264:423
childhood,	48119:27395:3250:524
men	53640:27516:1341:322 42752:30862:1393:302
did	55266:27395:980:423
men's	56504:27415:1883:423
jobs,	58671:27395:1522:544
irish,	43991:28060:1677:503
italians,	45951:28060:2605:503
jews	50209:28080:1599:403
knew	52040:28060:1651:443
who	53950:28080:1290:423
they	55446:28080:1367:524
were,	57046:28181:1754:362
life	52015:32757:1006:443 42726:28725:1032:423
lacked	44016:28725:2115:423
ambiguity.	46338:28725:3431:544
smith's	43242:29491:2425:443
sense	45900:29632:1728:302
place	48661:29532:1702:524
character,	51989:29532:3354:483
ear	56736:29612:1057:302
idle	42726:30056:1186:443
gossip	44249:30036:1986:564
firenouse,	48738:30096:3121:483
loaded	55008:30076:2089:443
words	57407:30076:1909:443
women	46106:30862:2270:322
bars	49770:30741:1367:443
give	51550:30741:1341:544
blue	55653:30781:1419:403
gritty,	58233:30761:1986:544
realistic	42726:31406:2657:443
tone	45590:31447:1367:403
only	49925:31406:1341:544
accentuated	51447:31406:3947:463
by	57330:32092:748:544 55601:31406:722:564
atypical	57639:31426:2580:544
