adults.	24305:33607:1133:439
"gimme	17085:34326:1484:399
shelter,"	18705:34326:1538:459
trilogy	20729:34286:1133:539
plays	22429:34286:904:539
barry	24008:34286:998:539
keefe,	25155:34286:1079:519
nicholas	26370:34286:1471:439
trumbull	29380:34286:1605:419
advance,	20756:34946:1525:539
song	18070:35686:809:479
songs,"	19447:35666:1309:499
silliman	24035:35626:1417:419 20904:35626:1417:439
dramat,	22456:35646:1430:499 23995:36306:1444:499
dramatic	25587:35606:1646:439
attic,	27369:35606:917:539
"winners"	17085:36326:1835:399
private	20810:36326:1282:399
ear,"	22213:36326:998:459
td	23347:36306:526:419 25587:36286:526:419
$3.	29596:36286:418:479
"lorenzaccio,"	34413:8316:2631:499
dramat	41296:32287:1322:419 38746:30948:1336:399 37153:8316:1363:459
experimental	40365:30948:2334:519 38624:8356:2375:559
theater,	41107:8396:1457:539 44616:8416:1444:539
university	42713:8396:1794:559
222	46182:8476:512:399
york	47450:13794:850:459 46816:8436:850:459
st.,	47774:8456:539:519
8	35804:14354:161:419 36573:10376:175:379 34400:8976:148:419 47113:19292:175:399
p.m.	45426:11235:742:419 34683:9056:755:439 47531:13254:755:419 41607:30408:755:399 44130:22811:742:439 36087:14454:755:439 47302:35106:742:439 44103:22151:755:419
"palpable	34413:9636:1713:519
nirills,"	36478:9696:1471:459
2nd	38287:9676:580:459
year	37747:34926:836:399 39204:9716:850:439
medical	40392:9716:1363:439
school	42093:9736:1093:439
students'	43523:9756:1525:439
show,	45399:9776:944:519
harkness	46708:9796:1605:439
auditorium,	34386:10276:2037:559
p.m.,	35992:15773:877:439 47383:19372:877:419 43442:17993:863:439 36789:12455:863:439 47288:35766:863:439 38192:25550:863:419 45709:27649:863:399 36856:10456:890:419 38192:26889:863:419
$4	40810:12415:337:479 37895:10356:323:479
w/yale	38341:10336:1255:479
id.	39731:10376:499:439
"little	34400:10975:1133:419
shop	35669:11015:809:519
of	44778:13774:337:439 36586:11015:337:419 38935:18532:337:419
horrors,"	37045:11035:1673:479
stiles	41485:11055:931:459 38854:11035:917:459
