victory	30505:45065:1784:338 27102:47696:1805:325 30547:48542:1784:325
was	22889:45612:996:182 26977:49935:996:195 29073:47761:996:182
delivered	24279:45521:2386:273
hugh	28077:45508:1328:338
labossier	29820:45508:2510:260
'86.	22931:45964:767:286
but	23968:45977:871:260 22910:48138:809:286
what	25732:45964:1265:260
turned	27226:45938:1660:286
out	30443:48138:788:247 29094:45964:788:260
to	30090:45977:456:234
be	30775:45925:560:286
decisive	22889:46407:2137:273
captain	27268:46381:1992:351
will	29509:46368:975:273
carlin	30754:46368:1556:273 24093:48138:1577:286
lost	22889:46836:892:286
a	24030:46914:290:195
hard-fought,	24549:46823:3195:338
down-to-the-wire	28015:46810:4295:286
struggle.	22889:47266:2282:351
up	25462:47266:726:351
2-0	26396:47279:684:260
12-7	28471:47266:892:247
fifth	31273:47227:1058:299
final	24010:47709:1141:273
game,	25338:47761:1556:273
sight;	30837:47683:1431:351
could	26023:48112:1369:299
not	27724:48138:788:260
close	28824:48112:1286:273
yale's	26209:48555:1577:273
hopes	28077:48555:1431:325
faded.	22910:48998:1577:286
despite	23449:49440:1950:351
unfavorable	26666:49401:3092:299
outcome,	29986:49427:2324:286
coach	22931:49883:1556:273
talbott	24819:49857:1846:286
impressed	28285:49844:2677:351
with	31252:49844:1079:273
his	22910:50326:747:273
team's	24051:50300:1743:286
performance.	26189:50287:3486:364
"all	30152:50274:1016:273
guys	22910:50821:1224:286
tried	24342:50730:1203:286
real	25753:50717:996:299
hard,''	26998:50717:1680:299
he	28907:50717:560:260
said,	29675:50704:1203:312
"and	31107:50704:1224:286
we	33265:42526:705:182
didn't	34157:42448:1473:273
really	35838:42448:1473:351
expect	37540:42474:1680:325
to	39428:42474:435:260 42188:45065:477:260
play	34406:47644:1058:351 40072:42448:1099:351
them	41379:42461:1265:273
that	33265:42878:1016:273
close."	34489:42878:1784:286
even	33805:43321:1307:260
more	35506:43386:1307:208
impressive	37208:43321:2822:351
than	40404:43321:1099:273
the	37706:49401:767:260 35942:48516:788:273 33265:47644:747:273 35029:43750:788:260 41898:43321:767:273 33265:44610:788:260 36731:49831:767:273 35486:46771:788:299 36710:47657:747:260 39781:47657:767:260
spirit	33265:43750:1369:338
team	36233:43750:1265:273
displayed	37914:43750:2469:351
against	40777:43750:1888:351
favored	33265:44180:1971:260
franklin	35631:44180:2241:273
&	38246:44180:352:273
marshall	39013:44180:2261:273
