to	17881:10907:512:222
conclude	18727:10848:2516:297
schedule.	21555:10863:2538:282
teams	14964:11814:1647:297
from	17079:11814:1202:297
the	17146:18456:757:297 17346:23687:779:282 20553:12780:779:297 17725:17520:757:282 14407:13716:734:282 21132:22751:734:282 21533:24178:779:282 15030:19422:979:282 19284:19422:734:297 16255:21310:757:297 14429:17030:734:297 17324:24178:734:267 21622:14682:734:297 17836:15618:734:282 20798:17059:734:282 16211:15142:757:282 22824:23702:757:297 18616:13716:757:282 20019:22275:734:282 21355:13255:757:282 18682:11828:757:282 20998:12319:734:282 18549:17996:757:282 23092:13731:979:297 15030:21785:1002:282 15320:20834:757:297
university	16456:21785:2672:341 18616:15142:2672:356 22156:12304:2672:356 19885:11828:2672:356
of	22980:11843:489:282 20731:24178:489:282 20019:17045:489:297 18415:19422:489:282 24183:18010:467:282 16456:23687:489:282 21934:23687:489:297 25675:16584:489:282 25652:13255:467:282
pennsylvania	23915:11843:1915:341 20464:19422:3340:341 19061:15618:3362:356 14407:12274:1313:312
will	24316:14206:912:282 19261:13255:890:267 21132:21800:912:282 17458:14176:935:297 16122:12289:935:297 17992:22736:912:297
oppose	17435:12393:1692:252
both	24940:17059:1224:297 19529:12304:1068:297
and	23092:14221:868:267 19684:20388:890:267 25207:12319:890:282 20508:17535:868:282
freshman	14407:14266:1046:193 14429:12765:2516:282 24450:13746:1402:267
boxers	17614:12765:1670:297 22869:15648:1670:282
in	25697:16108:445:282 17680:17996:556:267 20397:22751:467:282 19729:12765:423:297
gymnasium	22023:12780:3006:341
tonight	25407:12839:467:237 14407:13225:1291:356
at	16010:13285:467:237
8.	16790:13240:378:282
this	17324:16554:890:297 17792:13240:1135:282
be	16433:24163:534:282 23448:16599:512:267 25563:14221:578:267 20508:13255:534:282
final	22423:13255:1046:282
match	23826:13255:1491:282
season	15543:13805:1603:193
for	18972:22275:712:267 17502:13716:734:282
vale	19751:13731:1135:282 18348:18471:1180:282
men.	21266:13835:1135:178
bouts	19907:23687:1336:297 15788:14176:1313:297
take	18749:14191:1024:297
place	20152:14206:1224:341
first	21733:14206:1002:282
followed	14407:14652:2137:297
immediately	16946:14652:3050:356
by	20642:14682:601:341
meeting	23025:14682:1981:356 18415:24163:1981:341
between	14429:15187:1425:237 25363:14682:534:297
two	17324:15187:912:237 21845:17104:890:237
teams.	21622:15202:1581:237 23047:17119:1558:237
although	14986:15603:2382:371
have	14429:17520:1157:282 24984:15648:1157:282
had	14429:16079:868:297
more	15699:16183:1247:193
experience,	17324:16093:2805:341
having	20508:16108:1692:356
taken	22579:16108:1358:282
part	24316:16168:979:297
six	14407:16554:734:297
meets	15520:16614:1425:237
season,	18593:16673:1736:252
little	20731:16569:1135:297
can	22245:16673:846:193
