1929;	19793:14343:1303:332
hammer,	23679:14343:2358:347
grad.;	14311:14811:1729:362
grove,	18287:14811:1662:362
3:5o—e.	14872:15280:2246:317
settle,	18579:15295:1527:347
div.;	20579:15295:1303:347
goodrich,	24555:15295:1190:287 14333:15764:1055:332
eli	14333:17003:988:347
wrestlers	15726:16988:3886:377
oppose	20040:16988:2538:362
brown	17523:17562:2381:332
in	20332:17562:629:332
second	21388:17562:2538:332
meet	24376:17562:1707:332
university	14356:18545:2785:332
and	17434:18529:966:287
freshman	18714:18529:2651:287
teams	21680:18545:1752:287
will	23724:18545:1100:287
try	25140:18545:966:347
to	15501:19013:718:287
repeat	16670:19013:1864:347
last	19006:19013:1123:287
year's	20601:19013:1684:287
double	22736:19013:1909:287
victory	16265:19497:2066:317
in	18624:19497:494:272
gym.	19433:19497:1392:317
tomorrow.	21141:19497:3032:272
to	25701:28263:471:256 17029:28747:471:241 14940:20464:696:287 21590:26812:494:241
avenge	16041:20570:1707:241
last	22848:27734:876:287 17973:33523:876:317 16310:32087:898:302 25319:25784:876:317 25319:24348:876:287 23455:30636:898:302 18130:20464:898:287
year's	19411:20464:1460:347 24690:30636:1505:362
defeat,	21275:20464:1640:347
the	22466:34520:741:287 20489:26268:763:317 23971:27265:763:287 14401:28218:741:302 19433:25784:763:302 21343:29185:741:302 22556:22414:763:287 25432:34037:763:287 16894:33538:763:302 14401:31603:741:302 16512:33069:741:287 15322:32102:741:287 25409:29185:763:302 23297:20464:786:302 16108:21930:988:287 17748:28701:786:287 25432:21930:763:287 24039:24832:763:302
brown	14985:30152:1707:287 24466:20464:1707:287
university	17434:21915:2673:347 14401:20933:2673:362
and	20152:28218:898:302 17434:20948:876:302 25297:26298:898:287 21343:22414:876:272 22668:30167:876:287
freshman	18692:20948:2516:287 23679:22414:2516:287
wrestling	21567:20948:2583:362
teams	24511:20948:1662:302
will	17771:29185:898:287 21904:21915:943:287 21567:27235:898:302 14401:21431:898:302 16917:26767:966:287 14401:24348:921:287 20219:24817:921:287
bring	15636:21416:1325:362
a	16153:32676:292:181 17254:21522:247:196 20107:35095:247:181 16849:23472:269:196 24421:33160:269:196 24039:28701:426:287
strong	17815:21492:1595:287
combination	19725:21416:3055:302
here	23073:21431:1078:302
tomorrow.	24443:21492:1460:241 14401:22006:1100:196
meet	14401:22928:1168:241 20422:21960:1168:241
start	23185:21975:1145:241
in	24668:21915:449:302 23230:24832:471:287 24376:26767:539:287 25746:27734:449:287 15749:33054:449:302 24690:29185:449:302 21590:34505:494:287 24488:34021:449:302 25746:31120:449:302 18512:25784:449:302
gym.	14401:22399:1325:362
tomorrow	16086:22444:2493:241
at	15996:26328:449:241 18939:22444:449:241
2:30,	19725:22399:1235:347
is	18894:26268:381:302 18647:34021:381:302 21478:28203:359:317 15928:22882:381:287 19815:23850:381:302
scheduled	16670:22882:2403:287
for	14378:32102:718:272 15883:33538:718:302 19411:22882:763:287
1.	20556:22867:336:302
while	14962:23366:1550:302
definite	17434:23366:1819:302
vale	25005:33054:1168:302 25005:31603:1190:302 19613:23366:1145:302
line-up	21096:23351:1729:377
has	17097:30152:808:287 23163:23366:808:302 22062:33054:831:302 19770:31603:831:302
not	19523:34082:808:241 24308:23426:786:256 18220:26812:786:241
yet	25432:23426:763:302
been	14401:23850:1123:302
announced	15951:23850:2651:302
it	19029:23850:336:287
expressed	20601:23865:2471:332
that	22960:24348:988:287 23500:23850:988:317
there	24915:23865:1280:302
be	19366:26767:516:287 15771:24348:539:287
radical	16760:24348:1684:287
changes	18894:24348:1977:332
from	21320:24348:1213:287
of	24398:24348:494:302
week's	14423:24832:1617:287
meet.	16423:24877:1280:241
these	18377:24832:1482:272
occur	21522:24923:1347:196
145--and	25185:24817:763:302 14401:25316:876:287
150-pound	15771:25285:2538:377
classes.	18759:25301:1819:302
j.	21320:25301:404:347
whiting,	22219:25301:2246:362
1931,	24982:25316:1190:347
who	14423:25799:1055:287
wrestled	15906:25784:2134:302
145-pound	18826:28686:2516:362 20691:25769:2516:377
class	18534:28218:1190:287 23702:25799:1168:302 14401:34989:1190:287
week	24084:27749:1303:287 14401:26268:1258:302
present	16760:26328:1819:302
on	19613:26374:561:196
disability	21567:26268:2314:362
list	24196:26283:763:302
probably	14401:26767:2179:347
able	20242:26767:988:287
start.	22421:26812:1280:241
this	25252:26767:921:302
case,	14401:27341:1145:256
r.	15996:27235:516:287
sargent,	16984:27235:2089:362
19305,	19545:27235:1572:362
fill	22915:27250:673:287 20377:29185:651:287
145--pound	14401:27749:1482:332 25185:27235:741:302
position.	16265:27719:2089:362 17321:29669:2089:347
he	19029:27719:741:302
competed	20130:27749:2336:332
158-pound	14423:29653:2538:362 15591:28187:2538:377
now	22264:28308:1055:211
trying	23702:28218:1572:362
get	14401:28747:741:302
down	15412:28701:1370:287
weight.	21635:28701:1819:347
