including	44678:31226:1983:337
heads	46886:31210:1206:291
or	40854:31701:429:184
tails	41529:31609:1063:291
captain	42838:31609:1656:352
gesstit	44760:31609:1513:276
won	46518:31701:838:184
by	47602:31609:490:337
tossing	40875:32008:1513:352
five	42572:32008:797:276
dollars	43533:32008:1472:276
worth	45209:32008:1247:276
of	46661:31992:388:291
coin	47254:31992:838:291
m~the	40854:32391:1431:276
direction	42613:32391:1922:291
of	44882:32376:408:291
one	45618:32468:736:199
of	46723:32376:408:291
the	47479:32391:613:260
harvard	40895:32790:1840:276
referees	42899:32790:1881:322
frank	44964:32790:1329:260
chump	46457:32790:1635:322
the	41304:28112:797:276
dispute	42367:28112:1554:337
was	44187:28189:817:199
settled	45291:28112:1431:276
when	46988:28112:1104:276
e	40875:28511:449:260
donna	41733:28511:1369:276
nobis	43512:28496:1185:291
withdrew	45087:28496:2024:291
his	47500:28496:592:276
demand	40875:28894:1738:276
that	42919:28894:838:260
newsies	44023:28894:2044:260
pay	46355:28971:777:260
ad	47479:28894:613:276
mission	40875:29278:1635:291
to	42776:29309:368:245
the	43390:29278:613:276
game	44228:29339:1329:276
the	41283:24983:817:276
game	42265:25060:1185:276
got	43594:25014:654:306
off	44412:24983:572:276
to	45148:24999:368:260
a	45700:25060:224:199
late	46130:24999:777:260
start	47091:24999:1001:260
as	40854:25459:449:199
a	41447:25459:204:199
result	41836:25382:1226:276
of	43185:25382:388:276
an	43737:25459:470:199
argument	44371:25398:2126:322
among	46661:25444:1431:276
members	40875:25766:2024:276
of	43246:25766:388:276
the	44003:25766:633:276
committee	44985:25766:2392:276
of	47704:25766:388:276
captains	40875:26180:2003:337
two	43267:26164:899:276
of	44494:26164:388:276
the	45271:26164:633:276
captains	46273:26164:1819:352
walked	40875:26548:1513:291
off	42899:26548:552:276
the	43962:26548:633:276
field	45107:26548:940:291
at	46539:26563:388:260
the	47479:26548:613:276
beginning	40875:26947:2106:337
of	43226:26947:408:260
the	43880:26947:633:260
game	44760:27008:1329:276
forming	46395:26947:1697:337
an	40854:27422:490:184
ad	41570:27345:511:276
hoc	42285:27330:715:291
staring	43226:27345:1574:337
committee	45046:27345:2371:260
as	47643:27407:449:199
spectators	40854:27744:2249:291
on	43328:27805:470:199
the	44044:27713:654:291
sidelines	44903:27713:2003:291
staring	42429:24615:1574:306
committee	44146:24615:2351:260
hugh	41304:21471:1124:322
gesstit	42735:21471:1615:322
one	44657:21533:695:199
of	45659:21456:408:276
the	46355:21456:654:276
fjve	47316:21456:777:352
members	40875:21855:2024:276
of	43246:21855:388:276
the	44023:21855:633:276
committee	45025:21870:2331:260
of	47725:21855:368:276
ydnbm	40875:22253:1840:260
captains	43103:22253:1942:337
said	45455:22253:1001:291
this	46907:22223:1185:306
year's	40854:22637:1329:337
game	42388:22714:1206:260
was	43819:22714:817:199
a	44862:22714:204:184
salute	45332:22637:1288:276
to	46845:22652:388:260
the	47459:22637:633:276
yale	40875:23036:981:276
women	42326:23112:1656:199
the	44494:23020:817:291
committee	45782:23036:2310:276
thought	40875:23419:1635:337
that	42633:23419:838:276
one	43635:23496:695:199
score	44535:23480:1145:214
for	45823:23419:592:276
each	46579:23419:981:276
of	47725:23419:368:276
the	40875:23818:633:260
women	41856:23895:1533:184
would	43758:23818:1226:276
be	45353:23818:470:260
a	46191:23895:204:184
fitting	46804:23818:1288:337
tribute	40875:24201:1451:260
to	42551:24232:388:230
coeducation	43165:24201:3005:260
ironically	41324:19892:2208:337
the	43758:19892:654:276
victory	44657:19892:1492:337
was	46395:19968:817:199
the	47459:19892:613:276
588	40854:20275:613:276
th	41468:20275:429:276
consecutive	42326:20290:2535:276
win	45250:20275:736:276
for	46436:20275:592:291
the	47459:20275:613:276
ydnbm	40875:20689:1962:291
which	43206:20674:1247:276
represents	44821:20689:2269:337
the	47459:20674:613:276
ocd	40854:21073:981:276
opiniated	42101:21073:2167:322
coverage	44473:21134:1983:260
daily	46682:21073:1390:322
the	41263:16748:817:291
powerful	42388:16763:1860:337
but	44535:16763:674:276
potent	45496:16778:1329:337
yale	47111:16763:961:276
daily	40854:17146:1145:337
news	42224:17146:1390:276
bladderball	43799:17146:2535:276
moguls	46559:17146:1513:337
ydnbm)yesterday	40752:17545:4396:337
cavorted	45496:17545:1881:260
to	47725:17560:347:245
an	40854:18005:490:199
awesome	41488:18005:2003:214
588-0-0-0-0-minus	43635:17944:3537:276
two	47356:17959:715:260
triumph	40875:18327:1738:337
over	42756:18404:961:199
opponents	43880:18343:2147:322
from	46232:18312:1022:291
the	47459:18327:613:260
record	40875:18726:1676:291
wybc	42858:18726:1574:276
the	44760:18711:633:276
dartmouth	45721:18711:2351:276
gang	40875:19109:1288:337
green	42306:19109:1574:306
the	44085:19109:633:276
bsay	44903:19109:1410:306
and	46498:19109:756:276
the	47459:19109:613:276
new	40875:19508:920:245
haven	42060:19508:1349:245
police	43635:19493:1451:260
by	42817:16349:511:306
betsy	43615:16364:1594:260
ross	45455:16379:1165:276
prodigious	26459:34784:2290:291
stamina	28913:34784:1758:260
among	25375:35167:1554:322
the	27195:35167:654:260
elis	28156:35167:817:260
who	29301:35167:838:260
boarded	30446:35167:1717:276
the	24946:35535:633:276
train	25989:35535:1022:276
that	27399:35535:838:276
night	28626:35551:1083:322
were	30099:35627:1042:199
the	31571:35551:592:276
immortal	24946:35934:2024:260
w.w	27175:35934:1104:260
heffelfinger	28422:35903:2760:368
still	31407:35934:756:291
regarded	24946:36609:1962:322
by	27052:36609:470:337
many	27686:36686:1185:260
as	29015:36686:449:184
the	29628:36609:633:276
greatest	30426:36624:1738:322
lineman	24946:36992:1738:276
of	27134:36992:388:291
the	27972:36992:654:276
game's	29056:37008:1574:337
early	31080:37008:1083:337
days	24905:37376:1145:337
captain	26234:37376:1656:352
tom	28054:37376:961:291
mcclung	29178:37391:2044:337
end	31448:37406:715:276
frank	24925:37775:1329:276
hinkey	26582:37775:1615:337
his	28483:37790:613:260
runningmate	29383:37790:2780:337
at	24905:38189:388:245
the	25559:38158:654:276
opposite	26479:38173:1758:337
spot	28504:38204:981:306
john	29751:38189:1022:276
hart	31060:38189:1104:276
well	24905:38557:1001:291
and	26254:38557:777:276
tackle	27379:38557:1288:276
wally	29015:38557:1206:337
winter	30569:38572:1574:276
they	24905:38925:1063:352
were	26254:39017:1042:199
real	27604:38955:817:276
men	28708:39048:1042:230
men	30058:39032:920:199
with	31264:38971:899:260
prodigious	24925:39339:2249:322
appetities	27318:39354:2106:306
off	29546:39339:592:291
the	30283:39354:654:276
field	31101:39339:1042:291
also	25355:39722:920:276
included	26684:39738:1799:276
in	28872:39738:347:260
the	29628:39738:674:276
coterie	30671:39738:1492:276
were	24905:40198:1042:184
the	26234:40121:613:276
übiquitous	27134:40121:2208:352
phil	29608:40136:858:276
hersh	30753:40136:1390:322
immortal	24925:40505:2003:276
sports	27359:40535:1288:322
editor	29076:40520:1247:276
of	30732:40505:388:291
the	31530:40520:633:276
news	24925:40919:1513:260
and	26950:40919:777:260
his	28258:40919:592:260
counterparts	29383:40934:2780:322
